cohortyear,cohortmonth,orderyear,ordermonth,activecustomer,returncustomer,cohortsize,retentionrate
2013,2,2013,12,20,20,252,0.08
2013,2,2014,1,55,55,252,0.22
2013,2,2014,2,54,54,252,0.21
2013,2,2014,3,31,31,252,0.12
2013,2,2014,4,14,14,252,0.06
2013,2,2014,5,10,10,252,0.04
2013,3,2013,3,308,0,308,0
2013,3,2013,5,1,1,308,0
2013,3,2013,6,12,12,308,0.04
2013,3,2013,7,8,8,308,0.03
2013,3,2013,8,15,15,308,0.05
2013,3,2013,9,6,6,308,0.02
2013,3,2013,10,11,11,308,0.04
2013,3,2013,11,50,50,308,0.16
2013,3,2013,12,14,14,308,0.05
2013,3,2014,1,22,22,308,0.07
2013,3,2014,2,59,59,308,0.19
2013,3,2014,3,64,64,308,0.21
2013,3,2014,4,15,15,308,0.05
2013,3,2014,5,34,34,308,0.11
2013,4,2013,4,328,0,328,0
2013,4,2013,6,5,5,328,0.02
2013,4,2013,7,13,13,328,0.04
2013,4,2013,8,11,11,328,0.03
2013,4,2013,9,8,8,328,0.02
2013,4,2013,10,27,27,328,0.08
2013,4,2013,11,36,36,328,0.11
2013,4,2013,12,43,43,328,0.13
2013,4,2014,1,15,15,328,0.05
2013,4,2014,2,24,24,328,0.07
2013,4,2014,3,77,77,328,0.23
2013,4,2014,4,52,52,328,0.16
2013,4,2014,5,27,27,328,0.08
2013,5,2013,5,353,2,353,0.01
2013,5,2013,6,9,9,353,0.03
2013,5,2013,7,11,11,353,0.03
2013,5,2013,8,50,50,353,0.14
2013,5,2013,9,8,8,353,0.02
2013,5,2013,10,14,14,353,0.04
2013,5,2013,11,47,47,353,0.13
2013,5,2013,12,42,42,353,0.12
2013,5,2014,1,24,24,353,0.07
2013,5,2014,2,27,27,353,0.08
2013,5,2014,3,63,63,353,0.18
2013,5,2014,4,71,71,353,0.2
2013,5,2014,5,54,54,353,0.15
2013,6,2013,6,303,3,303,0.01
2013,6,2013,7,4,4,303,0.01
2013,6,2013,8,3,3,303,0.01
2013,6,2013,9,72,72,303,0.24
2013,6,2013,10,6,6,303,0.02
2013,6,2013,11,5,5,303,0.02
2013,6,2013,12,66,66,303,0.22
2013,6,2014,1,2,2,303,0.01
2013,6,2014,2,3,3,303,0.01
2013,6,2014,3,71,71,303,0.23
2013,6,2014,4,8,8,303,0.03
2013,6,2014,5,4,4,303,0.01
2013,6,2014,6,4,4,303,0.01
2013,7,2013,7,1284,48,1284,0.04
2013,7,2013,8,72,72,1284,0.06
2013,7,2013,9,68,68,1284,0.05
2013,7,2013,10,144,144,1284,0.11
2013,7,2013,11,66,66,1284,0.05
2013,7,2013,12,75,75,1284,0.06
2013,7,2014,1,147,147,1284,0.11
2013,7,2014,2,57,57,1284,0.04
2013,7,2014,3,75,75,1284,0.06
2013,7,2014,4,75,75,1284,0.06
2013,7,2014,5,154,154,1284,0.12
2013,7,2014,6,64,64,1284,0.05
2013,8,2013,8,1168,20,1168,0.02
2013,8,2013,9,44,44,1168,0.04
2013,8,2013,10,44,44,1168,0.04
2013,8,2013,11,37,37,1168,0.03
2013,8,2013,12,49,49,1168,0.04
2013,8,2014,1,42,42,1168,0.04
2013,8,2014,2,33,33,1168,0.03
2013,8,2014,3,41,41,1168,0.04
2013,8,2014,4,44,44,1168,0.04
2013,8,2014,5,38,38,1168,0.03
2013,8,2014,6,35,35,1168,0.03
2013,9,2013,9,1089,10,1089,0.01
2013,9,2013,10,30,30,1089,0.03
2013,9,2013,11,38,38,1089,0.03
2013,9,2013,12,37,37,1089,0.03
2013,9,2014,1,33,33,1089,0.03
2013,9,2014,2,33,33,1089,0.03
2013,9,2014,3,38,38,1089,0.03
2013,9,2014,4,25,25,1089,0.02
2013,9,2014,5,29,29,1089,0.03
2013,9,2014,6,35,35,1089,0.03
2013,10,2013,10,1143,16,1143,0.01
2013,10,2013,11,40,40,1143,0.03
2013,10,2013,12,31,31,1143,0.03
2013,10,2014,1,41,41,1143,0.04
2013,10,2014,2,31,31,1143,0.03
2013,10,2014,3,23,23,1143,0.02
2013,10,2014,4,37,37,1143,0.03
2013,10,2014,5,30,30,1143,0.03
2013,10,2014,6,35,35,1143,0.03
2013,11,2013,11,1154,12,1154,0.01
2013,11,2013,12,23,23,1154,0.02
2013,11,2014,1,31,31,1154,0.03
2013,11,2014,2,37,37,1154,0.03
2013,11,2014,3,44,44,1154,0.04
2013,11,2014,4,31,31,1154,0.03
2013,11,2014,5,31,31,1154,0.03
2013,11,2014,6,25,25,1154,0.02
2013,12,2013,12,1053,25,1053,0.02
2013,12,2014,1,22,22,1053,0.02
2013,12,2014,2,27,27,1053,0.03
2013,12,2014,3,34,34,1053,0.03
2013,12,2014,4,27,27,1053,0.03
2013,12,2014,5,44,44,1053,0.04
2013,12,2014,6,26,26,1053,0.02
2014,1,2014,1,1075,19,1075,0.02
2014,1,2014,2,17,17,1075,0.02
2014,1,2014,3,35,35,1075,0.03
2014,1,2014,4,24,24,1075,0.02
2014,1,2014,5,33,33,1075,0.03
2014,1,2014,6,23,23,1075,0.02
2014,2,2014,2,956,6,956,0.01
2014,2,2014,3,21,21,956,0.02
2014,2,2014,4,26,26,956,0.03
2014,2,2014,5,27,27,956,0.03
2014,2,2014,6,28,28,956,0.03
2014,3,2014,3,1134,8,1134,0.01
2014,3,2014,4,23,23,1134,0.02
2014,3,2014,5,26,26,1134,0.02
2014,3,2014,6,26,26,1134,0.02
2014,4,2014,4,1144,14,1144,0.01
2014,4,2014,5,21,21,1144,0.02
2014,4,2014,6,32,32,1144,0.03
2014,5,2014,5,1168,9,1168,0.01
2014,5,2014,6,20,20,1168,0.02
2014,6,2014,6,545,7,545,0.01
